,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
gma-miR167c,0.495,2.275,0.003,0.06,0.003,0.145,0.34,-1.383,0.268,-0.322,-0.23,0.11,0.775,-0.001,0.19,0.225,11.4,0.009,0.157,0.012,0.2,2.316,0.095,-4.581,0.001,-0.095,-0.001,-0.074,0.095,-0.166,-0.014,-1.568,-0.051,0.011,-0.695,-0.005,0.042,-0.001,-5.173,-0.001,-0.014,-0.004,0.0,-0.691,-0.183,-1.987,0.0,0.011,-0.001,-0.039,-0.011,1.79,-0.091,-1.008,0.315,-0.044,-0.261,0.002,-0.011,-0.02,-0.647,-0.001,-0.022,0.009,0.0,-0.159
ptc-miR474c,0.382,6.846,-0.002,0.05,0.007,0.248,0.322,0.852,0.044,-0.442,-0.246,0.277,1.982,-0.001,0.215,0.424,15.474,0.011,0.308,0.011,0.312,3.501,0.24,-18.662,0.0,-0.043,-0.003,-0.247,0.195,-3.15,-0.051,-0.944,1.292,-0.043,-3.486,-0.016,-0.251,-0.256,-12.302,-0.001,-0.246,-0.028,-0.149,-2.579,0.084,-21.087,0.003,-0.045,-0.002,-0.291,0.105,-4.702,0.053,-1.445,3.018,-0.145,-4.5,-0.034,-0.264,-0.581,-27.677,0.0,-0.447,-0.058,-0.357,-5.814
rgl-miR5138,0.398,-3.516,0.007,0.109,0.002,0.172,0.121,-1.777,0.056,-2.703,-0.403,0.125,0.63,0.001,0.156,0.405,12.833,0.008,0.311,0.005,0.43,3.067,0.108,13.781,-0.004,-0.017,-0.002,-0.133,-0.004,-1.079,-0.056,-0.704,-1.42,-0.133,2.579,-0.002,-0.033,0.199,11.69,-0.001,0.193,0.004,0.058,2.237,-0.08,2.904,-0.008,-0.089,-0.002,0.018,-0.004,-1.632,-0.143,1.08,-0.987,-0.071,0.65,-0.014,0.036,-0.002,0.666,-0.008,0.012,-0.016,-0.152,-0.019
ppt-miR1054,0.271,-0.177,-0.001,0.238,0.009,0.266,0.169,-0.032,-0.049,-0.327,0.495,0.155,0.588,0.002,0.047,0.243,3.851,0.017,0.17,0.008,0.205,1.357,0.05,2.174,-0.001,-0.082,0.001,-0.006,0.067,-0.513,0.096,0.699,-0.553,0.053,-0.076,0.035,-0.006,-0.104,0.634,0.003,-0.069,0.002,-0.061,-0.32,-0.043,-0.083,-0.001,-0.214,-0.004,-0.099,0.012,-0.756,0.017,2.864,-0.946,0.056,-0.5,0.032,-0.006,-0.231,-4.041,-0.009,-0.146,-0.003,-0.189,-1.288
pfo-mir47,0.147,-10.245,-0.001,0.161,0.004,0.18,0.061,-0.484,0.132,-2.083,0.496,0.058,-1.024,0.0,0.18,0.137,2.619,0.007,0.068,0.001,0.211,0.794,-0.102,-23.811,0.0,0.058,-0.003,-0.108,-0.047,1.252,0.013,-4.667,-2.017,-0.105,-4.156,0.004,-0.143,-0.326,-16.919,-0.007,-0.294,0.002,-0.222,-3.269,-0.068,-10.191,-0.001,-0.034,-0.005,-0.155,0.009,0.571,0.027,2.071,-3.213,-0.053,-2.483,-0.001,-0.093,-0.33,-15.437,-0.011,-0.325,-0.021,-0.294,-3.345
bra-miR5726,0.393,-3.232,0.0,0.036,0.009,0.302,0.211,-1.887,-0.132,-0.302,0.21,0.161,0.03,0.0,0.127,0.174,4.582,0.015,0.136,0.0,0.155,1.232,0.102,-19.526,-0.001,-0.018,0.001,-0.035,-0.167,0.568,-0.019,-1.17,0.088,-0.219,-3.694,-0.003,-0.254,-0.369,-19.847,0.004,-0.314,-0.007,-0.225,-3.961,0.031,-15.169,-0.001,-0.019,0.0,-0.118,-0.353,1.171,0.011,-2.108,2.235,-0.115,-2.885,-0.018,-0.173,-0.238,-17.365,-0.001,-0.207,-0.027,-0.136,-3.245
sit-miRn47a,0.155,4.128,0.003,0.047,0.005,0.177,0.158,-0.954,0.173,-0.097,0.378,0.247,1.368,0.0,0.139,0.212,9.19,0.006,0.181,0.008,0.172,2.114,0.029,-2.497,-0.002,-0.006,0.001,-0.012,0.0,2.194,0.146,-0.243,0.411,0.094,-0.215,-0.002,-0.076,-0.012,-1.823,0.002,-0.003,0.002,0.015,-0.48,0.077,-11.138,0.001,-0.006,0.001,-0.176,0.059,0.419,-0.162,-0.724,0.916,0.025,-1.711,-0.027,-0.08,-0.092,-22.816,0.002,-0.085,-0.023,0.015,-3.409
mmu-miR-novel-6ae,0.337,-6.663,0.004,0.132,0.005,0.188,0.029,-0.392,-0.05,-1.223,-1.148,0.05,0.369,0.0,0.186,0.431,7.177,0.009,0.331,0.008,0.405,2.4,-0.05,2.83,-0.005,-0.1,-0.004,-0.097,-0.065,-0.885,-0.166,-2.097,2.403,-0.043,0.514,-0.008,-0.043,0.052,-3.142,-0.008,0.056,-0.023,0.043,-0.362,-0.064,-26.478,0.0,-0.105,-0.004,-0.032,0.068,1.284,-0.162,-5.927,-0.145,-0.036,-4.827,-0.002,-0.095,-0.357,-23.681,-0.009,-0.333,-0.008,-0.155,-4.554
osa-miR5076,0.193,-0.856,-0.002,0.06,0.007,0.22,0.295,0.456,0.047,-0.81,0.49,0.31,0.662,0.002,0.17,0.268,8.36,0.008,0.162,0.014,0.2,2.036,0.008,18.0,-0.002,-0.042,-0.001,0.016,0.047,0.851,-0.13,0.705,-0.115,0.063,2.774,0.008,-0.084,0.092,15.136,-0.002,0.083,0.014,0.0,2.475,-0.011,25.096,0.003,-0.044,-0.005,0.097,-0.122,-1.0,0.12,2.344,-0.674,-0.081,4.204,0.018,-0.089,0.244,29.092,-0.008,0.233,0.022,0.056,4.903
osa-miR1846e,0.056,-10.443,-0.001,0.216,0.002,0.216,0.117,0.008,-0.035,-0.481,-1.453,0.0,-1.12,0.0,0.265,0.051,-0.155,0.004,0.031,-0.001,0.056,0.169,-0.085,-1.599,-0.005,-0.092,-0.002,-0.039,-0.111,-1.801,0.039,-0.34,-0.331,0.0,0.148,0.04,-0.013,0.046,6.707,-0.005,0.048,0.011,-0.033,1.157,0.16,-1.532,0.0,-0.25,-0.004,-0.014,0.181,1.487,-0.033,-0.955,1.218,0.0,-0.264,0.034,0.042,0.092,1.434,-0.006,0.079,0.011,0.146,0.337
cgr-miR-RN04,0.279,9.446,0.002,0.05,0.008,0.248,0.273,0.384,0.0,-0.153,-0.648,0.384,2.678,0.0,0.277,0.484,14.007,0.008,0.387,0.015,0.403,3.467,-0.152,-14.462,0.0,0.013,0.003,0.039,-0.238,-2.945,-0.02,-1.706,1.798,0.212,-2.51,-0.015,-0.186,-0.16,-11.812,0.001,-0.152,-0.029,-0.061,-2.167,-0.309,-13.28,0.003,0.073,-0.001,0.059,-0.45,-1.761,-0.042,-0.027,1.712,0.123,-2.664,0.009,-0.261,-0.32,-13.074,-0.003,-0.252,-0.028,-0.177,-2.971
pas-miR39,0.122,-13.398,0.0,0.156,0.005,0.222,0.109,-0.907,-0.131,-0.299,-0.343,0.141,-1.057,-0.003,0.122,0.187,-1.359,0.007,0.134,-0.006,0.177,0.423,-0.083,-19.15,-0.001,-0.036,-0.004,-0.233,-0.036,-0.426,0.015,-0.957,-0.13,-0.052,-3.181,-0.021,-0.093,-0.115,-12.138,-0.006,-0.159,-0.02,-0.021,-2.067,-0.035,-6.381,-0.001,-0.075,-0.002,-0.333,0.0,-0.398,0.012,1.729,0.544,-0.003,-0.777,-0.027,-0.12,-0.057,-4.293,-0.003,-0.021,-0.008,-0.038,-0.794
novel_cma-miR79,0.046,-1.745,-0.001,0.043,0.001,0.111,-0.019,0.017,-0.181,-0.562,0.003,0.062,-0.078,-0.002,0.065,0.048,-4.147,0.001,0.029,0.001,0.046,-0.336,-0.366,-36.194,-0.002,-0.013,-0.001,0.078,-0.255,-2.133,0.053,1.209,-0.121,-0.052,-6.376,0.032,-0.359,-0.605,-15.336,-0.004,-0.505,-0.015,-0.431,-4.151,0.111,18.304,0.0,-0.014,-0.001,0.104,-0.062,-0.19,-0.361,-1.854,-1.822,-0.056,2.707,0.028,-0.042,0.075,-1.58,-0.001,0.092,0.007,0.021,0.28
