,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
zma-miR169e,0.108,-3.479,0.002,0.161,0.005,0.291,-0.072,-1.456,-0.061,-0.443,-0.967,0.05,0.052,0.001,0.116,0.115,4.026,0.009,0.104,-0.003,0.083,0.953,-0.129,-18.055,-0.002,-0.164,-0.001,0.047,-0.02,1.172,0.091,-1.582,0.488,-0.058,-3.694,0.005,-0.07,-0.323,-13.564,-0.002,-0.352,0.0,-0.295,-2.945,-0.077,-0.798,-0.001,-0.022,0.003,0.118,0.012,1.412,0.023,-0.551,-1.49,-0.003,-0.41,0.003,-0.043,-0.101,0.64,0.006,-0.123,0.012,-0.124,-0.225
ath-miR399b,0.302,-3.066,-0.002,0.355,0.01,0.449,0.111,-0.049,-0.042,-0.125,-0.495,0.163,0.42,0.003,0.127,0.257,8.811,0.018,0.192,0.008,0.186,2.055,0.096,6.364,0.002,0.015,0.004,0.316,-0.067,-0.901,0.046,2.716,-0.903,-0.05,0.175,-0.009,0.003,-0.154,-3.709,0.007,-0.12,-0.006,-0.12,-1.047,-0.015,-19.231,-0.001,-0.158,0.001,0.334,-0.071,0.309,-0.066,1.907,1.742,-0.111,-4.066,-0.025,0.003,-0.447,-20.027,-0.001,-0.371,-0.034,-0.285,-4.286
osa-miR399c,0.338,4.082,-0.0,0.355,0.01,0.449,0.075,-0.181,-0.174,-0.152,-0.512,0.163,1.759,0.002,0.144,0.414,9.374,0.019,0.323,0.008,0.313,2.636,0.079,3.166,0.0,0.015,0.004,0.316,-0.108,-0.456,0.145,2.781,-0.745,-0.05,-0.048,-0.01,-0.041,-0.074,-0.465,0.008,-0.069,-0.004,-0.053,-0.389,-0.034,-24.102,-0.002,-0.158,0.001,0.334,-0.056,-0.17,-0.193,2.409,2.154,-0.111,-5.142,-0.027,-0.102,-0.554,-24.791,0.0,-0.478,-0.038,-0.344,-5.321
osa-miR395w,0.16,-1.849,0.001,0.085,0.012,0.485,0.11,1.784,-0.051,-0.1,0.905,0.287,0.602,0.0,0.37,0.294,3.626,0.015,0.204,0.013,0.247,1.365,-0.042,7.385,-0.001,0.037,0.002,0.255,0.084,1.972,-0.126,2.658,-0.023,0.026,1.153,-0.007,0.171,-0.013,1.017,0.001,0.024,0.007,-0.005,0.034,-0.083,5.454,-0.002,-0.017,-0.006,0.064,0.056,-0.452,-0.118,1.639,-0.968,-0.139,0.219,-0.032,0.006,-0.254,-13.036,-0.011,-0.154,-0.019,-0.175,-2.544
osa-miR2918,-0.003,-10.248,0.003,0.144,0.0,0.033,0.036,-2.785,0.136,-2.241,0.055,0.199,-1.108,0.001,0.091,0.167,6.213,-0.001,0.091,0.006,0.26,1.359,-0.003,7.266,0.001,-0.041,-0.006,-0.076,-0.058,2.184,0.045,1.307,0.651,-0.073,1.44,0.008,-0.015,0.14,16.865,-0.006,0.134,0.023,0.056,2.869,-0.003,7.731,-0.001,-0.04,-0.007,-0.022,-0.062,0.077,0.019,0.684,0.969,-0.254,1.444,0.021,-0.015,0.174,24.464,-0.007,0.09,0.029,-0.053,3.976
osa-miR2919,0.398,8.596,0.0,0.0,0.0,0.0,0.561,3.084,-0.006,0.149,1.294,0.0,2.647,0.001,0.398,0.517,13.209,0.002,0.394,0.023,0.398,3.407,0.143,9.471,-0.001,0.0,0.0,0.0,0.346,2.691,-0.157,3.199,-0.73,0.0,1.986,-0.002,0.202,0.265,3.824,0.001,0.21,0.019,0.202,1.359,-0.047,19.157,-0.001,0.0,0.0,0.0,0.282,4.295,-0.046,4.533,-2.416,0.0,3.837,0.024,0.212,0.405,21.99,0.001,0.316,0.055,0.212,4.418
osa-miR2921,0.184,-6.015,-0.002,0.05,0.01,0.339,0.186,-0.858,-0.088,-0.205,0.056,0.277,-0.563,-0.001,0.066,0.065,1.493,0.013,0.063,-0.003,0.097,0.484,-0.186,3.544,0.0,-0.043,-0.001,-0.056,-0.139,-0.6,-0.079,2.145,0.31,-0.043,0.187,-0.011,-0.019,-0.155,-10.888,-0.002,-0.079,-0.011,-0.074,-2.097,-0.293,0.617,-0.001,-0.045,-0.007,-0.341,-0.161,0.599,0.089,2.411,0.733,-0.145,0.121,0.0,-0.014,0.013,0.016,-0.009,-0.006,0.006,-0.011,0.03
osa-miR2922,0.157,-6.09,0.003,0.173,0.001,0.12,0.065,-0.765,-0.092,-0.364,-0.321,0.139,-0.02,-0.001,0.111,0.266,3.806,0.003,0.196,0.015,0.302,1.425,-0.19,15.06,0.001,0.007,-0.005,-0.15,-0.242,-0.55,-0.156,-2.993,-1.277,-0.176,2.416,0.0,0.0,0.088,-5.586,-0.008,0.095,0.006,0.026,-0.247,-0.142,7.684,-0.004,-0.056,0.004,-0.017,-0.024,0.973,0.204,-2.167,-0.192,-0.031,0.885,0.015,-0.062,-0.098,5.129,0.004,-0.076,0.016,-0.222,0.5
osa-miR2923,0.07,4.465,0.004,0.06,0.0,0.05,0.077,-1.283,0.095,0.07,0.291,0.11,1.236,0.001,0.045,0.155,6.412,0.0,0.14,0.004,0.125,1.513,-0.116,8.941,-0.002,-0.042,-0.001,-0.158,-0.005,0.23,-0.135,0.842,0.466,0.011,1.352,0.005,0.0,0.065,3.883,-0.001,0.06,0.009,0.042,0.667,-0.044,-8.624,-0.002,-0.033,0.0,-0.028,-0.006,-0.308,-0.138,1.922,0.568,0.011,-1.218,0.027,0.0,-0.03,-2.149,-0.001,-0.03,0.001,0.006,-0.408
osa-miR2924,0.047,-8.732,-0.002,0.053,0.002,0.055,0.089,-1.135,-0.04,-2.543,-1.683,0.161,-1.048,0.001,0.091,0.062,-2.032,0.002,0.019,0.005,0.144,-0.076,-0.006,-4.99,-0.004,-0.111,-0.004,-0.219,-0.023,-1.301,-0.021,-0.529,0.641,-0.029,-0.897,0.032,-0.181,-0.063,-2.124,-0.002,-0.094,0.015,-0.041,-0.502,-0.006,-4.957,-0.004,0.0,0.001,-0.022,0.146,1.297,0.01,0.26,1.956,0.087,-0.165,0.023,-0.043,0.093,7.112,0.001,0.116,0.001,0.019,1.236
