,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
pab-miR11423d,0.042,3.64,0.001,-0.014,0.01,0.263,-0.03,-1.534,-0.053,-2.033,-1.701,0.407,1.37,0.0,0.199,0.293,6.587,0.008,0.247,0.0,0.338,1.853,-0.012,-18.508,-0.005,-0.126,0.007,0.056,-0.158,-2.83,-0.192,-3.906,1.942,0.208,-2.751,-0.011,-0.079,-0.13,-12.725,0.007,-0.1,-0.022,0.009,-2.222,-0.006,11.562,0.008,0.043,0.006,0.118,0.031,0.728,0.169,0.765,2.908,0.161,1.549,0.024,0.028,-0.032,0.371,0.005,0.021,0.021,0.031,-0.119
osa-miR5078,0.061,-1.683,0.003,0.13,0.005,0.141,0.15,-1.364,-0.099,-1.058,-0.639,0.235,0.371,0.001,0.144,0.22,2.239,0.006,0.156,0.01,0.188,1.073,-0.047,14.576,-0.002,-0.102,-0.006,-0.073,-0.173,-1.843,0.004,0.781,0.392,-0.164,2.507,0.016,-0.07,0.167,21.084,-0.006,0.122,0.015,-0.067,3.506,-0.05,-0.975,0.0,-0.009,-0.002,-0.019,-0.18,2.919,-0.142,-4.269,-2.057,-0.198,0.187,0.023,-0.015,0.187,9.499,0.0,0.105,0.064,0.176,2.148
bdi-miR5202,0.222,-9.889,0.007,0.058,0.001,0.105,0.053,-2.472,0.106,-1.163,-0.365,0.078,-0.69,0.0,0.119,0.213,9.717,0.004,0.147,0.012,0.23,2.086,-0.07,15.985,0.001,-0.05,-0.006,-0.222,-0.219,-1.825,0.042,5.918,-0.813,-0.269,2.22,-0.008,0.015,0.045,5.288,-0.009,0.065,-0.03,-0.035,0.822,-0.161,-5.547,-0.003,0.025,-0.004,-0.059,-0.173,-2.889,0.051,6.068,-0.68,-0.108,-1.155,-0.032,0.015,-0.133,-12.434,-0.009,-0.104,-0.045,-0.05,-2.181
ptc-miR6421-5p,0.191,1.847,0.0,0.141,0.01,0.191,0.186,-1.407,-0.012,-0.136,0.319,0.186,0.723,0.002,0.0,0.185,5.113,0.014,0.131,0.009,0.141,1.275,0.035,0.252,-0.003,-0.102,-0.001,0.035,-0.137,0.829,-0.223,0.401,0.306,-0.137,-0.141,0.014,0.0,-0.08,-1.189,-0.001,-0.06,0.011,-0.102,-0.394,0.037,7.06,-0.001,-0.022,-0.003,0.037,-0.263,0.804,0.013,1.471,0.261,-0.263,1.24,0.031,0.0,0.094,16.909,-0.003,0.059,0.032,-0.022,2.659
rgl-miR7972,0.061,2.801,0.001,0.141,0.005,0.18,0.011,-1.36,-0.114,-0.252,-0.408,0.158,1.089,0.0,0.139,0.215,5.124,0.007,0.191,0.002,0.188,1.462,-0.047,-9.128,-0.002,-0.018,-0.004,-0.053,-0.029,-0.374,0.011,-1.304,-0.188,0.056,-1.592,-0.025,-0.108,-0.061,-11.166,-0.004,-0.101,-0.013,0.02,-1.752,-0.05,0.873,-0.001,-0.019,-0.003,0.04,0.118,-0.382,-0.018,1.728,0.325,0.118,0.059,-0.036,-0.031,-0.011,-7.965,-0.009,-0.024,-0.019,0.009,-1.039
ath-miR776,0.139,-7.253,0.0,0.075,0.008,0.247,0.036,-0.734,-0.039,-0.208,0.0,0.053,-0.797,0.0,0.058,-0.001,-0.505,0.012,0.006,-0.002,0.003,-0.034,-0.132,-10.767,-0.004,-0.015,-0.002,-0.073,-0.123,1.797,-0.124,-1.295,0.361,-0.058,-1.925,0.003,-0.05,-0.194,-12.46,-0.005,-0.16,-0.001,-0.129,-2.284,-0.115,-2.589,0.0,0.043,-0.005,-0.152,-0.006,0.584,-0.113,0.127,0.327,-0.006,-0.753,0.037,0.006,-0.093,-7.694,-0.007,-0.084,0.002,-0.019,-1.511
bdi-miR9489,0.042,-5.64,0.0,0.161,0.005,0.211,0.199,-1.01,-0.012,-0.837,-0.445,0.116,-0.75,-0.002,0.213,-0.013,-0.381,0.006,-0.027,0.004,0.008,-0.057,-0.105,2.528,-0.001,0.094,-0.006,-0.173,-0.067,-2.073,-0.081,0.55,-0.226,-0.099,0.264,0.028,-0.108,-0.078,0.585,-0.009,-0.05,-0.001,-0.091,-0.142,-0.034,4.758,0.0,0.158,-0.007,-0.195,-0.071,0.594,-0.098,-0.802,-1.3,-0.046,0.892,0.034,-0.198,0.09,3.817,-0.009,0.073,0.017,0.093,0.83
ghr-miR7484a,0.151,-7.733,0.001,0.058,0.005,0.242,0.196,-1.41,0.042,-0.269,0.027,0.324,-0.494,0.002,0.095,0.128,5.7,0.007,0.091,0.002,0.112,1.24,-0.032,-1.034,-0.003,-0.035,0.0,-0.032,0.193,-0.215,-0.121,1.182,0.18,0.167,-0.337,0.023,-0.043,-0.143,-5.317,0.0,-0.061,-0.004,-0.074,-1.275,0.016,-16.777,-0.001,-0.036,-0.002,-0.027,0.195,-0.107,-0.204,-4.723,-1.445,0.209,-2.891,0.022,-0.077,-0.172,-22.095,-0.002,-0.152,-0.004,0.0,-3.606
osa-miR1873,0.14,-10.77,-0.003,0.066,0.002,0.155,0.211,-0.803,-0.067,-0.483,0.039,0.079,-1.457,-0.003,0.178,0.016,-2.545,0.004,-0.008,-0.001,0.037,-0.265,-0.106,-2.566,0.001,-0.056,-0.002,-0.16,0.078,0.335,-0.009,1.1,-0.04,-0.013,-0.635,0.01,-0.052,-0.069,5.385,-0.003,-0.081,0.009,-0.108,0.563,-0.143,-6.618,0.0,-0.009,-0.002,-0.245,-0.018,0.07,-0.032,0.141,-0.364,-0.014,-0.265,-0.011,-0.055,0.169,10.77,-0.004,0.116,0.003,0.086,2.104
pab-miR11407b,0.407,-21.8,0.002,0.033,0.01,0.366,0.114,-0.993,0.038,-2.947,0.279,0.127,-2.641,0.001,0.144,0.164,1.911,0.018,0.053,0.007,0.199,0.855,0.152,15.081,-0.004,-0.099,0.0,0.111,0.053,0.277,0.0,-0.944,0.072,0.023,2.227,-0.02,0.07,0.065,2.017,0.0,0.08,-0.015,0.0,0.572,-0.043,-14.893,-0.008,0.012,-0.006,-0.053,-0.133,0.673,-0.245,-4.235,0.969,-0.093,-2.153,-0.017,0.046,-0.05,-12.206,-0.01,-0.065,-0.016,0.006,-1.74
